Number of Cases by Age,Daily ,Community,Federal Prisonin Lompoc,Total(Community & Prison),Date
0 – 17,8,313,0,313,"July 15, 2020"
18 – 29,26,977,134,1111,"July 15, 2020"
30 – 49,35,1256,532,1788,"July 15, 2020"
50 – 69,19,676,302,978,"July 15, 2020"
70+,1,189,32,221,"July 15, 2020"
Age Suppressed,0,,,,"July 15, 2020"
Pending,0,1,0,1,"July 15, 2020"
0 – 17,14,305,0,305,"July 14, 2020"
18 – 29,58,951,134,1085,"July 14, 2020"
30 – 49,67,1223,530,1753,"July 14, 2020"
50 – 69,34,657,302,959,"July 14, 2020"
70+,2,188,32,220,"July 14, 2020"
Age Suppressed,0,,,,"July 14, 2020"
Pending,1,1,0,1,"July 14, 2020"
0 – 17,8,291,0,291,"July 13, 2020"
18 – 29,14,893,134,1027,"July 13, 2020"
30 – 49,20,1156,530,1686,"July 13, 2020"
50 – 69,12,624,302,926,"July 13, 2020"
70+,2,178,32,210,"July 13, 2020"
Age Suppressed,0,,,,"July 13, 2020"
0 – 17,10,274,0,274,"July 10, 2020"
18 – 29,15,833,134,967,"July 10, 2020"
30 – 49,27,1074,530,1604,"July 10, 2020"
50 – 69,15,584,302,886,"July 10, 2020"
70+,8,168,32,200,"July 10, 2020"
Age Suppressed,0,,,,"July 10, 2020"
0 – 17,4,264,0,264,"July 9, 2020"
18 – 29,23,820,134,954,"July 9, 2020"
30 – 49,24,1053,530,1583,"July 9, 2020"
50 – 69,13,572,302,874,"July 9, 2020"
70+,3,161,32,193,"July 9, 2020"
Age Suppressed,0,,,,"July 9, 2020"
0 – 17,17,260,0,260,"July 8, 2020"
18 – 29,37,801,133,934,"July 8, 2020"
30 – 49,43,1041,519,1560,"July 8, 2020"
50 – 69,18,564,300,864,"July 8, 2020"
70+,6,158,32,190,"July 8, 2020"
Age Suppressed,0,,,,"July 8, 2020"
