Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",11,604,560,37,7,"December 17, 2020"
Out of County,,,0,0,0,"December 17, 2020"
Pending,16,589,510,79,,"December 17, 2020"
Total** ,234,14190,12925,1120,145,"December 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,383,336,40,7,"December 16, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,30,2053,1798,240,15,"December 16, 2020"
CITY OF GOLETA,6,509,430,73,6,"December 16, 2020"
COMMUNITY OF ISLA VISTA,5,591,558,32,1,"December 16, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,376,342,31,3,"December 16, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,313,280,26,7,"December 16, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,35,1489,1339,140,10,"December 16, 2020"
FEDERAL PRISON IN LOMPOC,0,1038,1027,7,4,"December 16, 2020"
CITY OF SANTA MARIA,64,5376,4934,365,77,"December 16, 2020"
COMMUNITY OF ORCUTT,15,663,595,60,8,"December 16, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",8,593,544,42,7,"December 16, 2020"
Out of County,,,0,0,0,"December 16, 2020"
Pending,19,573,493,80,,"December 16, 2020"
Total** ,196,13957,12676,1136,145,"December 16, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,379,331,41,7,"December 15, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,41,2023,1780,228,15,"December 15, 2020"
CITY OF GOLETA,20,504,429,70,5,"December 15, 2020"
COMMUNITY OF ISLA VISTA,3,586,557,28,1,"December 15, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,374,335,36,3,"December 15, 2020"
